key,project,issuetype,resolution,priority,created,resolutiondate,summary,category,spec_areas,is_nonconformance,mentions_other_driver,preventable_by_yaml_test,confidence,rationale,components,labels,fix_versions,links,url
CDRIVER-279,CDRIVER,Bug,Done,Major - P3,2014-01-24,2015-01-06,be lazier about holding on to connections,avoidable_by_spec_conformance,cmap,False,False,True,medium,Connection pool holding excess connections; CMAP spec would constrain this behavior.,,,1.2.0,Depends:CDRIVER-416|Related:CDRIVER-438,https://jira.mongodb.org/browse/CDRIVER-279
CDRIVER-436,CDRIVER,Bug,Done,Major - P3,2014-10-01,2015-01-06,Improve error messages for connection failures,not_relevant,,False,False,False,high,"Error message improvement only, no spec or behavior change.",,,1.1.0,Related:CDRIVER-432|Related:CDRIVER-435|Related:CS-15444,https://jira.mongodb.org/browse/CDRIVER-436
CDRIVER-470,CDRIVER,Improvement,Done,Major - P3,2014-11-25,2015-01-06,Add support for storage options to index creation helper,not_relevant,,False,False,False,high,Feature enhancement for index creation helper.,,,1.1.0,Depends:DRIVERS-194,https://jira.mongodb.org/browse/CDRIVER-470
CDRIVER-471,CDRIVER,Improvement,Done,Major - P3,2014-11-25,2015-01-06,Add support for storage options to collection creation helper,not_relevant,,False,False,False,high,Feature enhancement for collection creation helper.,,,1.1.0,Depends:DRIVERS-195,https://jira.mongodb.org/browse/CDRIVER-471
CDRIVER-474,CDRIVER,Bug,Done,Major - P3,2014-12-02,2015-01-06,"""Failure to buffer 4 bytes"" error on OS X with 300 client threads",avoidable_by_spec_conformance,cmap,False,False,unsure,medium,Buffer underflow under high thread count; CMAP implementation bug.,,,1.1.0,,https://jira.mongodb.org/browse/CDRIVER-474
CDRIVER-476,CDRIVER,Bug,Done,Major - P3,2014-12-03,2015-01-06,mongoc_collection_find does not report dropped connection,driver_spec_nonconformance,cursors|crud,True,False,True,high,mongoc_collection_find() returns empty cursor instead of reporting error.,,,,,https://jira.mongodb.org/browse/CDRIVER-476
CDRIVER-505,CDRIVER,Bug,Done,Major - P3,2015-01-15,2015-01-15,MONGOC_QUERY_OPLOG_REPLY should be MONGOC_QUERY_OPLOG_REPLAY,not_relevant,,False,False,False,high,"Constant name typo, internal flag only.",,,,Related:PHPC-141,https://jira.mongodb.org/browse/CDRIVER-505
CDRIVER-414,CDRIVER,Improvement,Done,Major - P3,2014-08-25,2015-01-27,"Add ""How to Ask for Help"" section to Github readme",not_relevant,,False,False,False,high,"Documentation improvement, no driver behavior change.",,,1.1.0,Depends:DRIVERS-1890,https://jira.mongodb.org/browse/CDRIVER-414
CDRIVER-451,CDRIVER,Improvement,Done,Major - P3,2014-10-30,2015-01-27,Add make check to build,test_infrastructure,,False,False,False,high,"Build system improvement, make check task.",,,1.1.0,,https://jira.mongodb.org/browse/CDRIVER-451
CDRIVER-468,CDRIVER,Bug,Done,Major - P3,2014-11-22,2015-01-27,mongoc_collection_find and logical $and/$or,driver_spec_nonconformance,crud|bson,True,False,True,high,BCON_NEW query with $and/$or fails; shell query works.,,,,Duplicate:FREE-65877,https://jira.mongodb.org/browse/CDRIVER-468
CDRIVER-482,CDRIVER,Bug,Done,Minor - P4,2014-12-10,2015-01-27,mongoc_cursor_clone() ignores fields,driver_spec_nonconformance,cursors,True,False,True,high,mongoc_cursor_clone() ignores fields projection.,,driver|query,1.1.0,,https://jira.mongodb.org/browse/CDRIVER-482
CDRIVER-489,CDRIVER,Bug,Done,Major - P3,2014-12-22,2015-01-27,Use provided username for X509 authentication,driver_spec_nonconformance,auth|auth-oidc,True,True,True,high,Ignores provided username for X509 auth; links to PHPC-33.,,,1.1.0,Related:PHPC-33,https://jira.mongodb.org/browse/CDRIVER-489
CDRIVER-500,CDRIVER,Bug,Done,Major - P3,2015-01-07,2015-01-27,Get rid of non-prefixed macros in libbson and libmongoc,not_relevant,,False,False,False,high,"Macro naming refactor to avoid collisions, no behavior change.",,,1.1.0,,https://jira.mongodb.org/browse/CDRIVER-500
CDRIVER-518,CDRIVER,Bug,Done,Critical - P2,2015-01-27,2015-01-27,UNIX sockets do not work,driver_spec_nonconformance,connection-string,True,False,True,high,"UNIX socket connections fail, not parsing socket path correctly.",,,1.1.0,,https://jira.mongodb.org/browse/CDRIVER-518
CDRIVER-521,CDRIVER,Bug,Done,Major - P3,2015-02-02,2015-02-06,test_index_storage fails against latest mongod,not_relevant,,False,False,False,high,"Test failure against latest mongod, not driver behavior.",,,1.2-beta0,Duplicate:CDRIVER-522,https://jira.mongodb.org/browse/CDRIVER-521
CDRIVER-492,CDRIVER,Bug,Done,Blocker - P1,2014-12-23,2015-02-18,mongoc never reports WriteConcern error,driver_spec_nonconformance,write-concern,True,True,True,high,Never reports WriteConcernError from 2.6+ commands; links PHPC-113.,,,1.1.0,Related:CDRIVER-710|Related:PHPC-113,https://jira.mongodb.org/browse/CDRIVER-492
CDRIVER-531,CDRIVER,Bug,Done,Major - P3,2015-02-17,2015-02-23,1.1.0 post release bump breaks --with-libbson=system,not_relevant,,False,False,False,high,"Package build system issue, libbson version bump.",,,,,https://jira.mongodb.org/browse/CDRIVER-531
CDRIVER-501,CDRIVER,Bug,Done,Major - P3,2015-01-08,2015-02-25,Connection error only with 2.8 and WT Engne,avoidable_by_spec_conformance,cmap,False,False,unsure,medium,Connection failure with 2.8 and WT engine under load.,,,,,https://jira.mongodb.org/browse/CDRIVER-501
CDRIVER-519,CDRIVER,Bug,Done,Major - P3,2015-01-29,2015-02-25,Failed to read 4 bytes from socket,not_relevant,,False,False,False,high,Error message clarity improvement only.,,,,Related:CDRIVER-543,https://jira.mongodb.org/browse/CDRIVER-519
CDRIVER-477,CDRIVER,Bug,Done,Minor - P4,2014-12-03,2015-02-25,2 minor errors during visual studio 2008 build and link,not_relevant,,False,False,False,high,Visual Studio 2008 build compatibility issues.,,,,,https://jira.mongodb.org/browse/CDRIVER-477
CDRIVER-557,CDRIVER,Bug,Done,Major - P3,2015-03-04,2015-03-04,failed client creation doesn't result in Null returned,driver_spec_nonconformance,connection-string,True,False,True,high,mongoc_client_new() doesn't return NULL on connection failure.,,Bug|Client|Connection,,,https://jira.mongodb.org/browse/CDRIVER-557
CDRIVER-536,CDRIVER,Bug,Done,Major - P3,2015-02-20,2015-03-09,mongoc_uri should normalize hostnames to lower case,driver_spec_nonconformance,sdam|connection-string,True,False,True,high,SDAM spec mandates hostname normalization to lowercase.,,,1.2-beta0,Depends:SPEC-146|Related:CDRIVER-568|Related:SPEC-137,https://jira.mongodb.org/browse/CDRIVER-536
CDRIVER-525,CDRIVER,Improvement,Done,Major - P3,2015-02-10,2015-03-10,C driver does not support IPv6 addresses,driver_spec_nonconformance,connection-string,True,True,True,high,IPv6 addresses fail to parse in connection strings; links PHP-219.,,,1.1.2,Related:PHP-219|Related:CS-18503|Related:CDRIVER-1972,https://jira.mongodb.org/browse/CDRIVER-525
CDRIVER-532,CDRIVER,Improvement,Done,Major - P3,2015-02-18,2015-03-10,vectorized writes are pathological for TLS using BIO_write,avoidable_by_spec_conformance,wire-protocol|compression,False,False,False,medium,TLS stream write coalescence optimization; performance improvement.,,,1.1.2,Depends:CS-18608|Related:PHPC-298,https://jira.mongodb.org/browse/CDRIVER-532
CDRIVER-526,CDRIVER,Bug,Done,Major - P3,2015-02-10,2015-03-10,Memory leak in mongoc_client_get_database_names function,not_relevant,,False,False,False,high,Memory leak in mongoc_client_get_database_names().,,,1.1.2,,https://jira.mongodb.org/browse/CDRIVER-526
CDRIVER-546,CDRIVER,Bug,Done,Major - P3,2015-02-26,2015-03-10,Received invalid SCRAM reply from MongoDB server,not_relevant,,False,False,False,high,Error message clarity for SCRAM authentication.,,,1.1.2,,https://jira.mongodb.org/browse/CDRIVER-546
CDRIVER-544,CDRIVER,Bug,Done,Major - P3,2015-02-26,2015-03-10,Can't compile with MinGW-w64,not_relevant,,False,False,False,high,MinGW build compilation issue.,mingw,,1.1.2,,https://jira.mongodb.org/browse/CDRIVER-544
CDRIVER-553,CDRIVER,Bug,Done,Major - P3,2015-03-03,2015-03-10,Fix node management in replica set cluster reconnect,driver_spec_nonconformance,sdam,True,False,True,high,Replica set node management broken; always uses original URI list.,,,1.1.2,Depends:CS-18837|Related:CS-19039,https://jira.mongodb.org/browse/CDRIVER-553
CDRIVER-540,CDRIVER,Bug,Done,Minor - P4,2015-02-24,2015-03-10,connectTimeoutMS (and probably others) option ignored unless in lower case,driver_spec_nonconformance,connection-string,True,False,True,high,connectTimeoutMS option ignored unless lowercase in URI.,,,1.1.2,,https://jira.mongodb.org/browse/CDRIVER-540
CDRIVER-571,CDRIVER,Bug,Done,Major - P3,2015-03-10,2015-03-11,sdam/ss tests don't integrate with the rest of the tests,test_infrastructure,,False,False,False,high,SDAM/SS test framework integration issue.,,SDAM,1.2-beta0,,https://jira.mongodb.org/browse/CDRIVER-571
