driver,spec,month,n_bugs_created,n_files,n_noncomment_lines
CDRIVER,server-discovery-and-monitoring,2009-12,0,0,0
CDRIVER,crud,2009-12,0,0,0
CDRIVER,server-selection,2009-12,0,0,0
CDRIVER,command-monitoring,2009-12,0,0,0
CDRIVER,connection-string,2009-12,0,0,0
CDRIVER,gridfs,2009-12,0,0,0
CDRIVER,read-write-concern,2009-12,0,0,0
CDRIVER,max-staleness,2009-12,0,0,0
CDRIVER,retryable-writes,2009-12,0,0,0
CDRIVER,initial-dns-seedlist-discovery,2009-12,0,0,0
CDRIVER,transactions,2009-12,0,0,0
CDRIVER,auth,2009-12,0,0,0
CDRIVER,change-streams,2009-12,0,0,0
CDRIVER,connection-monitoring-and-pooling,2009-12,0,0,0
CDRIVER,retryable-reads,2009-12,0,0,0
CDRIVER,transactions-convenient-api,2009-12,0,0,0
CDRIVER,uri-options,2009-12,0,0,0
CDRIVER,sessions,2009-12,0,0,0
CDRIVER,client-side-encryption,2009-12,0,0,0
CDRIVER,atlas-data-lake-testing,2009-12,0,0,0
CDRIVER,unified-test-format,2009-12,0,0,0
CDRIVER,versioned-api,2009-12,0,0,0
CDRIVER,load-balancers,2009-12,0,0,0
CDRIVER,collection-management,2009-12,0,0,0
CDRIVER,client-side-operations-timeout,2009-12,0,0,0
CDRIVER,command-logging-and-monitoring,2009-12,0,0,0
CDRIVER,run-command,2009-12,0,0,0
CDRIVER,index-management,2009-12,0,0,0
CDRIVER,mongodb-handshake,2009-12,0,0,0
CDRIVER,open-telemetry,2009-12,0,0,0
CDRIVER,client-backpressure,2009-12,0,0,0
CDRIVER,bson-corpus,2009-12,0,0,0
CDRIVER,wire-protocol,2009-12,0,0,0
CDRIVER,cursors,2009-12,0,0,0
CDRIVER,compression,2009-12,0,0,0
CDRIVER,logging,2009-12,0,0,0
CDRIVER,ocsp,2009-12,0,0,0
CDRIVER,server-discovery-and-monitoring,2010-01,0,0,0
CDRIVER,crud,2010-01,0,0,0
CDRIVER,server-selection,2010-01,0,0,0
CDRIVER,command-monitoring,2010-01,0,0,0
CDRIVER,connection-string,2010-01,0,0,0
