spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
atlas-data-lake-testing,2020-07,intro,7,153,7,153,4f89b79b
auth,2018-04,intro,1,366,1,366,bebf9b68
change-streams,2018-05,intro,2,393,2,393,5f25cb24
change-streams,2020-02,phase,4,2907,2,2297,afaeb1d7
client-backpressure,2026-03,intro,4,4396,4,4396,c3c82b62
client-side-encryption,2019-06,intro,29,3081,29,3081,63540092
client-side-encryption,2022-04,phase,47,5460,14,2444,de75e99f
client-side-encryption,2022-12,phase,94,18969,31,11065,3a90e3ff
client-side-encryption,2023-01,phase,106,28841,12,9872,0a44c5bb
client-side-encryption,2025-08,phase,220,55587,101,25603,49ade88e
client-side-operations-timeout,2022-05,intro,26,21075,26,21075,bf372a16
collection-management,2021-05,intro,1,129,1,129,7b2221c9
command-logging-and-monitoring,2022-10,intro,22,2866,22,2866,a1bd61e6
command-monitoring,2015-07,intro,5,399,5,399,58e2a772
connection-monitoring-and-pooling,2019-01,intro,19,541,19,541,45c92ffa
connection-string,2015-09,intro,7,1061,7,1061,5ceaac4d
crud,2015-02,intro,14,896,14,896,012a23b5
crud,2016-10,phase,29,1234,15,338,64e8d2fe
crud,2020-03,phase,89,5800,38,2404,dbabacf2
gridfs,2015-09,intro,4,571,4,571,5ceaac4d
index-management,2023-05,intro,5,305,5,305,9e770b54
initial-dns-seedlist-discovery,2017-09,intro,4,26,4,26,cb211034
initial-dns-seedlist-discovery,2017-11,phase,23,161,16,102,da2bfbae
initial-dns-seedlist-discovery,2021-10,phase,54,458,19,182,e827caab
load-balancers,2021-04,intro,8,1688,8,1688,70c26f32
max-staleness,2016-07,intro,29,885,29,885,47c43c8d
mongodb-handshake,2025-06,intro,1,58,1,58,66899295
object-id,2018-06,intro,1,814,1,814,d6b90ff3
open-telemetry,2025-09,intro,22,1923,22,1923,ace53b16
read-write-concern,2015-10,intro,4,211,4,211,c1dc6aed
retryable-reads,2019-01,intro,42,4995,42,4995,45c92ffa
retryable-reads,2024-03,phase,45,12397,0,6452,bbb335e6
retryable-writes,2017-07,intro,8,620,8,620,1f63bb92
retryable-writes,2018-06,phase,18,1947,8,639,d6b90ff3
run-command,2023-04,intro,1,242,1,242,5112bcca
server-discovery-and-monitoring,2014-09,intro,37,1740,37,1740,98d6b27c
server-discovery-and-monitoring,2020-04,phase,161,10547,66,4613,17371253
server-selection,2015-02,intro,33,662,33,662,012a23b5
sessions,2019-05,intro,1,272,1,272,8c0d8cc3
transactions,2018-03,intro,19,3447,19,3447,84c3b10b
transactions,2018-06,phase,21,8594,3,3665,d6b90ff3
transactions-convenient-api,2019-01,intro,9,1838,9,1838,45c92ffa
unified-test-format,2020-10,intro,161,3942,161,3942,db7387df
uri-options,2019-01,intro,8,398,8,398,45c92ffa
versioned-api,2020-12,intro,6,1031,6,1031,fc7a1b6a
