month,spec,n_files,n_lines,commit
2014-09,server-discovery-and-monitoring,37,1740,98d6b27c
2014-10,server-discovery-and-monitoring,37,1740,98d6b27c
2014-11,server-discovery-and-monitoring,37,1740,e6b0bdfa
2014-12,server-discovery-and-monitoring,37,1740,94ef11fb
2015-01,server-discovery-and-monitoring,37,1740,411b58c1
2015-02,crud,14,896,012a23b5
2015-02,server-discovery-and-monitoring,37,1776,012a23b5
2015-02,server-selection,33,662,012a23b5
2015-03,crud,14,896,8b162aad
2015-03,server-discovery-and-monitoring,38,1880,8b162aad
2015-03,server-selection,33,662,8b162aad
2015-04,crud,14,896,d9ac28af
2015-04,server-discovery-and-monitoring,38,1880,d9ac28af
2015-04,server-selection,33,662,d9ac28af
2015-05,crud,14,896,76d9e4bc
2015-05,server-discovery-and-monitoring,45,2386,76d9e4bc
2015-05,server-selection,33,662,76d9e4bc
2015-06,crud,16,993,5206bed1
2015-06,server-discovery-and-monitoring,45,2385,5206bed1
2015-06,server-selection,33,662,5206bed1
2015-07,command-monitoring,5,399,58e2a772
2015-07,crud,14,896,58e2a772
2015-07,server-discovery-and-monitoring,46,2494,58e2a772
2015-07,server-selection,35,723,58e2a772
2015-08,command-monitoring,9,737,1e28efed
2015-08,crud,14,896,1e28efed
2015-08,server-discovery-and-monitoring,46,2494,1e28efed
2015-08,server-selection,35,723,1e28efed
2015-09,command-monitoring,9,747,5ceaac4d
2015-09,connection-string,7,1061,5ceaac4d
2015-09,crud,14,896,5ceaac4d
2015-09,gridfs,4,571,5ceaac4d
2015-09,server-discovery-and-monitoring,46,2494,5ceaac4d
2015-09,server-selection,35,723,5ceaac4d
2015-10,command-monitoring,9,799,c1dc6aed
2015-10,connection-string,7,1061,c1dc6aed
2015-10,crud,14,896,c1dc6aed
2015-10,gridfs,4,571,c1dc6aed
2015-10,read-write-concern,4,211,c1dc6aed
2015-10,server-discovery-and-monitoring,46,2515,c1dc6aed
2015-10,server-selection,35,723,c1dc6aed
2015-11,command-monitoring,9,801,07ec810c
2015-11,connection-string,7,1061,07ec810c
2015-11,crud,14,896,07ec810c
2015-11,gridfs,4,571,07ec810c
2015-11,read-write-concern,4,211,07ec810c
2015-11,server-discovery-and-monitoring,46,2515,07ec810c
2015-11,server-selection,35,723,07ec810c
2015-12,command-monitoring,9,802,73b92206
2015-12,connection-string,7,1061,73b92206
2015-12,crud,14,896,73b92206
2015-12,gridfs,4,571,73b92206
2015-12,read-write-concern,4,211,73b92206
2015-12,server-discovery-and-monitoring,50,2997,73b92206
2015-12,server-selection,35,723,73b92206
2016-01,command-monitoring,9,802,a9518b3e
2016-01,connection-string,7,1061,a9518b3e
2016-01,crud,14,896,a9518b3e
2016-01,gridfs,4,571,a9518b3e
2016-01,read-write-concern,4,211,a9518b3e
2016-01,server-discovery-and-monitoring,50,2997,a9518b3e
2016-01,server-selection,35,723,a9518b3e
2016-02,command-monitoring,9,802,4fbfad57
2016-02,connection-string,7,1061,4fbfad57
2016-02,crud,14,896,4fbfad57
2016-02,gridfs,4,571,4fbfad57
2016-02,read-write-concern,4,211,4fbfad57
2016-02,server-discovery-and-monitoring,51,3160,4fbfad57
2016-02,server-selection,35,723,4fbfad57
2016-03,command-monitoring,9,802,abe8626e
2016-03,connection-string,7,1061,abe8626e
2016-03,crud,14,896,abe8626e
2016-03,gridfs,4,571,abe8626e
2016-03,read-write-concern,4,211,abe8626e
2016-03,server-discovery-and-monitoring,51,3160,abe8626e
2016-03,server-selection,35,723,abe8626e
2016-04,command-monitoring,9,802,dfc41c00
2016-04,connection-string,7,1061,dfc41c00
2016-04,crud,14,896,dfc41c00
2016-04,gridfs,4,571,dfc41c00
2016-04,read-write-concern,4,211,dfc41c00
2016-04,server-discovery-and-monitoring,51,3160,dfc41c00
2016-04,server-selection,35,723,dfc41c00
2016-05,command-monitoring,9,802,25b9daac
2016-05,connection-string,7,1061,25b9daac
2016-05,crud,14,896,25b9daac
2016-05,gridfs,4,571,25b9daac
2016-05,read-write-concern,4,211,25b9daac
2016-05,server-discovery-and-monitoring,56,3663,25b9daac
2016-05,server-selection,35,723,25b9daac
