driver,sha,title,role,test_lines_deleted,test_lines_added,net_test_lines_removed,note
RUST,f8378e55,RUST-485 Unified test runner (#249),runner_creation,20,2340,-2320,"Creates the UTF runner; this is the investment, not savings"
RUST,e74b942d,RUST-749 Convert CRUD tests to unified format (#410),conversion,28,14,14,
RUST,7079121d,DRIVERS-1713 Convert change stream spec tests to the unified format (#570),conversion,15,87,-72,
RUST,bf12ff89,RUST-1186 Convert sessions tests to unified test format (#583),conversion,6,12,-6,
RUST,5dcbbabb,RUST-1334 Use unified format command monitoring tests (#667),conversion,124,17,107,
RUST,5000d323,RUST-1505 3.0 command event API (also deleted orphaned command-monitoring runner files),conversion,418,33,385,Primary subject is API refactor; incidentally deleted command_monitoring/event.rs (93L) and operation.rs (297L) that 5dcbbabb had left in place
RUST,91a91e2f,RUST-1859 Sync bulk write spec tests (actually deleted entire crud_v1 runner),conversion,1606,33,1573,Misleading title; bulk of change is deleting 14-file crud_v1 runner (1379L) + retryable_writes legacy runner (199L)
RUST,152f5bc0,RUST-817 Convert transactions tests to unified format (#1084),conversion,248,313,-65,
RUST,e6e18279,RUST-1867 Convert retryable reads legacy tests to unified (#1139),conversion,16,1,15,
RUST,a6d629fd,RUST-1879 Convert read/write concern operation tests to unified test format (#1168),conversion,20,39,-19,
RUST,b821bb80,RUST-2069 Convert retryable writes construction tests to spec tests (#1234),conversion,111,4,107,
RUST,7b0c2bc5,RUST-2077 Convert all CSFLE tests to unified format (#1491),conversion,2546,85,2461,
JAVA,fa758caace,Implement standard unified test runner (#603),runner_creation,5,2005,-2000,Creates the UTF runner (2005L added); the investment
JAVA,a655ae1439,Remove legacy GridFS test runner,conversion,776,0,776,
JAVA,91cc64c3b9,Remove legacy GridFS test runner for Scala driver,conversion,333,0,333,
JAVA,9b7b1dbec9,Convert remaining sessions spec tests to unified format,conversion,133,0,133,
JAVA,f281a281fb,Convert change stream spec tests to unified test format,conversion,384,5,379,
JAVA,9fcdefd48f,Migrate command monitoring tests to unified test runner,conversion,154,28,126,
JAVA,4949548f1d,Replace existing SDAM integration spec tests with unified tests (#989),conversion,194,677,-483,"Net investment: added 677, deleted only 194 (new SDAM unified tests are more comprehensive)"
JAVA,d85982def5,Port transactions spec tests to unified format (#1310),conversion,306,238,68,
JAVA,03746fae5a,Convert legacy retryable writes tests to unified format (#1322),conversion,354,33,321,
JAVA,d143d90a1e,Converted legacy CRUD tests to unified format (#1328),conversion,403,88,315,
JAVA,e68d303755,Delete unused test class (TargetDocument),conversion,78,0,78,
JAVA,262c785be6,Delete unused test class (JsonPoweredTestHelper),conversion,77,0,77,
JAVA,ddd5c5b4f3,Convert legacy data lake tests to unified (#1332),conversion,98,80,18,
JAVA,4127a229f3,Convert legacy write concern operation tests to unified format (#1347),conversion,1107,110,997,
JAVA,4a44a001db,Convert legacy retryable reads tests to unified format (#1330),conversion,425,42,383,
JAVA,722d9839da,Migrate com.mongodb.client.unified.UnifiedTest to JUnit 5 (#1410),runner_evolution,691,433,258,"JUnit 4->5 migration of the runner itself; deleted 691L, added 433L"
JAVA,6dd96da75c,Remove Legacy based ClientSideEncryptionTests (#1799),conversion,595,0,595,
JAVA,cefd9f1008,Remove unused JsonPoweredCrudTestHelper (#1838),conversion,1372,0,1372,
JAVA,22154136e6,Remove unused OperationContextBinding test wrappers (#1903),conversion,300,8,292,
